id,sku,english,hebrew
1479028,1479028,Midnight Snack, Dark Chocolate-Coated Biscuit,חטיף חצות, ביסקוויט מצופה שוקולד מריר
1479032,NP23,Quarter to Seven White Chocolate,רבע עד שבעה שוקולד לבן
1479046,CAK_CK05,Osem Petit-Beurre Vanilla Biscuits 500G,OSEM Petit-Beurre ביסקוויטים 500 גרם
1479047,CAK_CK06,Osem Petit-Beurre Chocolate Biscuits 500G,OSEM Petit-Beurre Bightuits Biscuits 500G
1479109,SWEET25,Classic Quarter To Seven,רבע קלאסי עד שבע
1479116,CAK_CK36,Chocolate Chip Cookies Classic 200g (Osem) (12),עוגיות שוקולד צ'יפס קלאסיות 200 גרם (OSEM) (12)
1479192,CAK_CK64,Gluten-Free Petit Beurre Chocolate Biscuit,ביסקוויט שוקולד ללא גלוטן ללא גלוטן
1479856,1479856,Pereg - Mixed nuts and dried fruits ( Tu bishvat ),פרג ' - אגוזים מעורבים ופירות יבשים (TU Bishvat)
1479857,1479857,Pereg - Sunflower Seeds ( Tu Bishvat),פרג ' - זרעי חמניות (TU Bishvat)
1479884,1479884,Martin Sunflower Seed Roasted 100g,זרע חמניות מרטין קלוי 100 גרם
1479886,1479886,Martin Pumpkin Seeds 100g,זרעי דלעת מרטין 100 גרם
1479887,1479887,Caramelized Coated Hazelnut 250g,אגוז לוז מצופה מקורמל 250 גרם
1479891,1479891,Chocolate covered pecan truffles,כמהין פקאן מכוסה שוקולד
1479893,1479893,Almonds in cinnamon 250g,שקדים בקינמון 250 גרם
1479894,1479894,Watermelon Seeds Zarifa, 200g,זרעי אבטיח זריפה, 200 גרם
1479899,JCCDATES1,Rimon Premium Dates,תאריכי רימון פרימיום
1479901,1479901,Jumbo Dried Raisin,ג'מבו מיובש צימוק
1479904,1479904,Jumbo light raisins 250g,צימוקים קל ג'מבו 250 גרם
1479905,1479905,Dried Turkish Apricot 250g,משמש טורקי מיובש 250 גרם
1479925,1479925,24 Hour Nesma Candle in Tin,נר נסמה 24 שעות בפח
1479926,1479926,48 Hour Nesma Candle,נר נסמה 48 שעות
1479933,CANDL07,Tiu Tea Light Candles 50 Pc,TIU Tio Light נרות 50 PC
1479948,1479948,Havdalah Candle Candlestick Torch Model C,נרות Havdalah נרות לפיד דגם C
1479949,1479949,72 Hour Nesma Candle in Plastic,נר נסמה 72 שעות בפלסטיק
1479955,1479955,Special Matches,משחקים מיוחדים
1479960,MEZU01,Mezuzah Transparent,מזוזה שקופה
1479982,CLNACC01,Perfect Cleaning Sponge,ספוג ניקוי מושלם
1479999,ELECAPL02,Platter For Cooking,מגש לבישול
1480001,1480001,Foldable 4-Pot Platter,מגש 4 סיר מתקפל
1480043,DISPSB41,Tooth Pick,בחירת שיניים
1480118,LEGMS05,Flaxseeds 400G,זרעי פשתן 400 גרם
1480124,1480124,White Beans,שעועית לבנה
1480130,BRKFSCE21,Gmi Reeses Puffs Minis,GMI Reeses Puffs Minis
1480133,BRKFSCE03,Champions Yellow Cornflakes Telma 850g (8),אלופות קורנפלקס צהוב טלמה 850 גרם (8)
1480135,BRKFSCE05,General Mills French Toast Crunch Cereal Mid 314G,ג'נרל מילס טוסט טוסט צרפתי דגני בוקר אמצע 314 גרם
1480141,100000007082,Telma Delipecan Cereal,דגני בוקר של טלמה
